Energy[keV], HPGe
499, 0.199002061331572
500, 0.19872128993734317
501, 0.19844155109102868
502, 0.19816283950177158
503, 0.1978851499093341
504, 0.19760847708392715
505, 0.19733281582603923
506, 0.1970581609662671
507, 0.1967845073651458
508, 0.1965118499129795
509, 0.1962401835296735
510, 0.19596950316456554
511, 0.1956998037962589
512, 0.19543108043245516
513, 0.1951633281097876
514, 0.1948965418936559
515, 0.1946307168780605
516, 0.1943658481854379
517, 0.19410193096649653
518, 0.19383896040005355
519, 0.1935769316928715
520, 0.19331584007949654
521, 0.19305568082209623
522, 0.19279644921029887
523, 0.19253814056103297
524, 0.19228075021836732
525, 0.19202427355335205
526, 0.19176870596386014
527, 0.19151404287442952
528, 0.19126027973610618
529, 0.191007412026287
530, 0.19075543524856467
531, 0.1905043449325724
532, 0.19025413663382906
533, 0.19000480593358599
534, 0.18975634843867323
535, 0.18950875978134799
536, 0.189262035619142
537, 0.1890161716347113
538, 0.18877116353568568
539, 0.18852700705451894
540, 0.1882836979483404
541, 0.1880412319988064
542, 0.18779960501195242
543, 0.18755881281804776
544, 0.18731885127144826
545, 0.1870797162504513
546, 0.1868414036571513
547, 0.18660390941729627
548, 0.18636722948014392
549, 0.18613135981831977
550, 0.18589629642767538
551, 0.1856620353271473
552, 0.18542857255861722
553, 0.1851959041867715
554, 0.1849640262989639
555, 0.1847329350050761
556, 0.18450262643738136
557, 0.18427309675040732
558, 0.18404434212080079
559, 0.1838163587471917
560, 0.1835891428500599
561, 0.18336269067160044
562, 0.18313699847559095
563, 0.18291206254725997
564, 0.18268787919315466
565, 0.18246444474101053
566, 0.18224175553962116
567, 0.1820198079587092
568, 0.18179859838879708
569, 0.18157812324108036
570, 0.18135837894729906
571, 0.18113936195961278
572, 0.18092106875047356
573, 0.1807034958125018
574, 0.1804866396583618
575, 0.1802704968206381
576, 0.18005506385171233
577, 0.17984033732364152
578, 0.1796263138280366
579, 0.17941298997594124
580, 0.17920036239771234
581, 0.17898842774290052
582, 0.17877718268013087
583, 0.17856662389698644
584, 0.17835674809988927
585, 0.17814755201398522
586, 0.17793903238302755
587, 0.1777311859692613
588, 0.17752400955330983
589, 0.17731749993406032
590, 0.17711165392855055
591, 0.1769064683718569
592, 0.1767019401169825
593, 0.1764980660347458
594, 0.17629484301367054
595, 0.17609226795987581
596, 0.17589033779696714
597, 0.17568904946592745
598, 0.17548839992501053
599, 0.17528838614963244
600, 0.17508900513226633
601, 0.174890253882336
602, 0.17469212942611081
603, 0.17449462880660138
604, 0.17429774908345558
605, 0.17410148733285538
606, 0.17390584064741432
607, 0.17371080613607526
608, 0.17351638092400984
609, 0.173322562152517
610, 0.173129346978923
611, 0.17293673257648293
612, 0.1727447161342807
613, 0.17255329485713142
614, 0.17236246596548413
615, 0.17217222669532414
616, 0.17198257429807734
617, 0.17179350604051416
618, 0.17160501920465446
619, 0.17141711108767277
620, 0.17122977900180492
621, 0.1710430202742543
622, 0.1708568322470991
623, 0.1706712122772001
624, 0.17048615773610948
625, 0.17030166600997937
626, 0.1701177344994716
627, 0.169934360619668
628, 0.16975154179998098
629, 0.1695692754840647
630, 0.1693875591297274
631, 0.16920639020884315
632, 0.16902576620726542
633, 0.16884568462474053
634, 0.1686661429748213
635, 0.16848713878478225
636, 0.16830866959553464
637, 0.16813073296154213
638, 0.16795332645073693
639, 0.16777644764443705
640, 0.16760009413726312
641, 0.1674242635370569
642, 0.16724895346479912
643, 0.1670741615545288
644, 0.1668998854532625
645, 0.1667261228209147
646, 0.16655287133021768
647, 0.1663801286666431
648, 0.16620789252832344
649, 0.16603616062597354
650, 0.16586493068281408
